Group,SelectionRate,FP,TN,FPR,CI_low,CI_high,ImpactRatio,Violation_80pct
(null),0.0,0,304,0.0,0.0,0.0,0.0,True
BRONX,0.21921173975968497,4065,15921,0.2033923746622636,0.1978118541019126,0.20897289522261459,0.48983699599312736,True
BROOKLYN,0.2941046221976197,7318,18214,0.2866207112642958,0.2810742024680166,0.29216722006057494,0.657187999159661,True
MANHATTAN,0.36520770332643643,7610,14290,0.34748858447488584,0.34118205599177354,0.35379511295799815,0.8160705467101576,False
QUEENS,0.38683361118008014,7494,12183,0.3808507394419881,0.3740658351000061,0.3876356437839701,0.8643944628939622,False
STATEN ISLAND,0.4475197699496765,1858,2310,0.44577735124760076,0.43068748569382675,0.46086721680137477,1.0,False
