Model,Class,precision,recall,f1-score,support
KNN,FELONY,0.4503937007874016,0.562992125984252,0.5004374453193351,508.0
KNN,MISDEMEANOR,0.515426497277677,0.49477351916376305,0.5048888888888889,574.0
KNN,VIOLATION,0.3225806451612903,0.07407407407407407,0.12048192771084337,135.0
KNN,accuracy,0.47658175842235007,0.47658175842235007,0.47658175842235007,0.47658175842235007
KNN,macro avg,0.42946694774212296,0.3772799064073631,0.3752694206396891,1217.0
KNN,weighted avg,0.46688841128525943,0.47658175842235007,0.46038907533722945,1217.0
