Group,N,SelectionRate,ImpactRatio,<80% Rule Violated?
UNKNOWN,51997,0.33351924149470163,1.5273237821268175,False
BLACK,29235,0.21836839404822986,1.0,False
WHITE HISPANIC,19864,0.2913813934756343,1.334356992208673,False
WHITE,15429,0.43962667703674896,2.0132340073886836,False
ASIAN / PACIFIC ISLANDER,8824,0.4205575702629193,1.9259086100621,False
BLACK HISPANIC,5378,0.343622164373373,1.5735892818696053,False
AMERICAN INDIAN/ALASKAN NATIVE,547,0.2577696526508227,1.1804348050198623,False
