Borough,Median_Income,Count,FPR_Felony
STATEN ISLAND,82000,5564,0.44577735124760076
QUEENS,72000,28193,0.3808507394419881
MANHATTAN,86000,31415,0.34748858447488584
BROOKLYN,60000,36130,0.2866207112642958
BRONX,45000,29711,0.2033923746622636
