Group,SelectionRate,FP,TN,FPR,CI_low,CI_high,ImpactRatio,Violation_80pct
BLACK,0.21836839404822986,4352,16174,0.21202377472473935,0.2064320630873672,0.2176154863621115,0.49671324661213895,True
AMERICAN INDIAN/ALASKAN NATIVE,0.2577696526508227,86,268,0.24293785310734464,0.19826334075656227,0.287612365458127,0.5863376044153831,True
WHITE HISPANIC,0.2913813934756343,3699,9485,0.28056735436893204,0.27289836505249154,0.28823634368537254,0.6627927937395787,True
UNKNOWN,0.33351924149470163,12751,25991,0.3291260131123845,0.32444695269106993,0.33380507353369904,0.7586419544481426,True
BLACK HISPANIC,0.343622164373373,1157,2301,0.33458646616541354,0.3188598388034229,0.3503130935274042,0.7816226410315159,True
WHITE,0.43962667703674896,4101,5885,0.410674944922892,0.40102602134522436,0.4203238685005597,1.0,False
ASIAN / PACIFIC ISLANDER,0.4205575702629193,2188,3086,0.4148653773227152,0.4015681980937822,0.42816255655164825,0.9566243183822176,False
