Model,Class,precision,recall,f1-score,support
Logistic Regression,FELONY,0.49544072948328266,0.32086614173228345,0.38948626045400236,508.0
Logistic Regression,MISDEMEANOR,0.5442708333333334,0.3641114982578397,0.4363256784968685,574.0
Logistic Regression,VIOLATION,0.13690476190476192,0.5111111111111111,0.215962441314554,135.0
Logistic Regression,accuracy,0.36236647493837304,0.36236647493837304,0.36236647493837304,0.36236647493837304
Logistic Regression,macro avg,0.3922054415737926,0.39869625036707806,0.3472581267551416,1217.0
Logistic Regression,weighted avg,0.47869966455873775,0.36236647493837304,0.3923294078433036,1217.0
