Model,Class,precision,recall,f1-score,support
SVM,FELONY,0.5,0.1673228346456693,0.25073746312684364,508.0
SVM,MISDEMEANOR,0.5972222222222222,0.22473867595818817,0.3265822784810127,574.0
SVM,VIOLATION,0.14199759326113118,0.8740740740740741,0.2443064182194617,135.0
SVM,accuracy,0.27280197206244866,0.27280197206244866,0.27280197206244866,0.27280197206244866
SVM,macro avg,0.4130732718277845,0.42204519489264386,0.273875386609106,1217.0
SVM,weighted avg,0.5061423423548137,0.27280197206244866,0.2857964055679254,1217.0
