Model,Class,precision,recall,f1-score,support
Random Forest,FELONY,0.4744094488188976,0.4744094488188976,0.4744094488188976,508.0
Random Forest,MISDEMEANOR,0.5126984126984127,0.5627177700348432,0.5365448504983389,574.0
Random Forest,VIOLATION,0.26582278481012656,0.15555555555555556,0.19626168224299065,135.0
Random Forest,accuracy,0.4806902218570255,0.4806902218570255,0.4806902218570255,0.4806902218570255
Random Forest,macro avg,0.41764354877581233,0.39756092480309874,0.4024053271867423,1217.0
Random Forest,weighted avg,0.469330291568,0.4806902218570255,0.47286119251343484,1217.0
