Class,precision,recall,f1-score,support
FELONY,0.32524757189106834,0.3437232704402516,0.33423028939064064,39750.0
MISDEMEANOR,0.5510685335298452,0.6322286100777815,0.5888652649814946,70968.0
VIOLATION,0.280136899480289,0.10728676149327637,0.15515304689693907,20599.0
accuracy,0.462552449416298,0.462552449416298,0.462552449416298,0.462552449416298
macro avg,0.3854843349670675,0.3610795473371032,0.3594162004230248,131317.0
weighted avg,0.4402123309442836,0.462552449416298,0.4437524596321476,131317.0
