Class,precision,recall,f1-score,support
FELONY,0.3093799751379408,0.3568805031446541,0.33143698234874946,39750.0
MISDEMEANOR,0.544613680420936,0.5542216210122872,0.549375646003855,70968.0
VIOLATION,0.1587133796436122,0.10204378853342395,0.1242206660166061,20599.0
accuracy,0.42355521371947275,0.42355521371947275,0.42355521371947275,0.42355521371947275
macro avg,0.33756901173416304,0.33771530423012175,0.33501109812307023,131317.0
weighted avg,0.41287369183826084,0.42355521371947275,0.41671323890463874,131317.0
